character_name,url,first_name
Charles Parker,https://expanse.fandom.com/wiki/Charles_Parker,Charles
Paula,https://expanse.fandom.com/wiki/Paula,Paula
Paula Gutierrez,https://expanse.fandom.com/wiki/Paula_Gutierrez,Paula
Trina Pilau ,https://expanse.fandom.com/wiki/Trina_Pilau_(Books),Trina
Pycior,https://expanse.fandom.com/wiki/Pycior,Pycior
Quiana Karvonides,https://expanse.fandom.com/wiki/Quiana_Karvonides,Quiana
Quintana,https://expanse.fandom.com/wiki/Quintana,Quintana
Ramez,https://expanse.fandom.com/wiki/Ramez,Ramez
Ren ,https://expanse.fandom.com/wiki/Ren_(Books),Ren
Richard Tseng ,https://expanse.fandom.com/wiki/Richard_Tseng_(Books),Richard
Rico ,https://expanse.fandom.com/wiki/Rico_(Books),Rico
Roberts,https://expanse.fandom.com/wiki/Roberts,Roberts
Roma ,https://expanse.fandom.com/wiki/Roma_(Books),Roma
Rona ,https://expanse.fandom.com/wiki/Rona_(Books),Rona
Rosenfeld Guoliang ,https://expanse.fandom.com/wiki/Rosenfeld_Guoliang_(Books),Rosenfeld
Belinda Ross,https://expanse.fandom.com/wiki/Belinda_Ross,Belinda
Rowena Estancia,https://expanse.fandom.com/wiki/Rowena_Estancia,Rowena
Rowman Perkins,https://expanse.fandom.com/wiki/Rowman_Perkins,Rowman
Rugged Man ,https://expanse.fandom.com/wiki/Rugged_Man_(Books),Rugged
Anamarie Ruiz ,https://expanse.fandom.com/wiki/Anamarie_Ruiz_(Books),Anamarie
Sa'id ,https://expanse.fandom.com/wiki/Sa%27id_(Books),Sa'id
Saba,https://expanse.fandom.com/wiki/Saba,Saba
Mehmet Sagale,https://expanse.fandom.com/wiki/Mehmet_Sagale,Mehmet
Salis,https://expanse.fandom.com/wiki/Salis,Salis
Samara Rosenberg ,https://expanse.fandom.com/wiki/Samara_Rosenberg_(Books),Samara
Christina Samuels ,https://expanse.fandom.com/wiki/Christina_Samuels_(Books),Christina
Sandra Ip,https://expanse.fandom.com/wiki/Sandra_Ip,Sandra
Sandrine Gujarat,https://expanse.fandom.com/wiki/Sandrine_Gujarat,Sandrine
Nico Sanjrani ,https://expanse.fandom.com/wiki/Nico_Sanjrani_(Books),Nico
Santiago Jilie Singh ,https://expanse.fandom.com/wiki/Santiago_Jilie_Singh_(Books),Santiago
Santichai Supitayaporn,https://expanse.fandom.com/wiki/Santichai_Supitayaporn,Santichai
Emily Santos-Baca ,https://expanse.fandom.com/wiki/Emily_Santos-Baca_(Books),Emily
Sauveterre ,https://expanse.fandom.com/wiki/Sauveterre_(Books),Sauveterre
Sematimba ,https://expanse.fandom.com/wiki/Sematimba_(Books),Sematimba
Serge ,https://expanse.fandom.com/wiki/Serge_(Books),Serge
Shaddid ,https://expanse.fandom.com/wiki/Shaddid_(Books),Shaddid
Silvestari Campos ,https://expanse.fandom.com/wiki/Silvestari_Campos_(Books),Silvestari
Singh ,https://expanse.fandom.com/wiki/Singh_(Books),Singh
Elsa Singh,https://expanse.fandom.com/wiki/Elsa_Singh,Elsa
Natalia Singh,https://expanse.fandom.com/wiki/Natalia_Singh,Natalia
Jae-Eun Song ,https://expanse.fandom.com/wiki/Jae-Eun_Song_(Books),Jae-Eun
Sophie,https://expanse.fandom.com/wiki/Sophie,Sophie
Soren Cottwald,https://expanse.fandom.com/wiki/Soren_Cottwald,Soren
Michael Souther ,https://expanse.fandom.com/wiki/Michael_Souther_(Books),Michael
Stanni,https://expanse.fandom.com/wiki/Stanni,Stanni
Stokes ,https://expanse.fandom.com/wiki/Stokes_(Books),Stokes
Strickland ,https://expanse.fandom.com/wiki/Strickland_(Books),Strickland
Sujai ,https://expanse.fandom.com/wiki/Sujai_(Books),Sujai
Sullivan ,https://expanse.fandom.com/wiki/Sullivan_(Books),Sullivan
Sun-yi Steinberg,https://expanse.fandom.com/wiki/Sun-yi_Steinberg,Sun-yi
Melissa Supitayaporn,https://expanse.fandom.com/wiki/Melissa_Supitayaporn,Melissa
Susanna Foyle ,https://expanse.fandom.com/wiki/Susanna_Foyle_(Books),Susanna
Suyet Klinger,https://expanse.fandom.com/wiki/Suyet_Klinger,Suyet
Takeshi Oba,https://expanse.fandom.com/wiki/Takeshi_Oba,Takeshi
Talissa ,https://expanse.fandom.com/wiki/Talissa_(Books),Talissa
Tamara,https://expanse.fandom.com/wiki/Tamara,Tamara
Auden Tammet,https://expanse.fandom.com/wiki/Auden_Tammet,Auden
Aliana Tanaka ,https://expanse.fandom.com/wiki/Aliana_Tanaka_(Books),Aliana
Tanja Li,https://expanse.fandom.com/wiki/Tanja_Li,Tanja
Eric Tannhauser ,https://expanse.fandom.com/wiki/Eric_Tannhauser_(Books),Eric
Tev Hillman ,https://expanse.fandom.com/wiki/Tev_Hillman_(Books),Tev
Theresa Yao ,https://expanse.fandom.com/wiki/Theresa_Yao_(Books),Theresa
Thorsson ,https://expanse.fandom.com/wiki/Thorsson_(Books),Thorsson
Timmy,https://expanse.fandom.com/wiki/Timmy,Timmy
Tjon,https://expanse.fandom.com/wiki/Tjon,Tjon
Tom ,https://expanse.fandom.com/wiki/Tom_(Books),Tom
Travin ,https://expanse.fandom.com/wiki/Travin_(Books),Travin
Travis ,https://expanse.fandom.com/wiki/Travis_(Books),Travis
Travon Barrish,https://expanse.fandom.com/wiki/Travon_Barrish,Travon
Anton Trejo ,https://expanse.fandom.com/wiki/Anton_Trejo_(Books),Anton
Trinh,https://expanse.fandom.com/wiki/Trinh,Trinh
Tristan Reeves,https://expanse.fandom.com/wiki/Tristan_Reeves,Tristan
Trying,https://expanse.fandom.com/wiki/Trying,Trying
Cameron Tur,https://expanse.fandom.com/wiki/Cameron_Tur,Cameron
Uchi,https://expanse.fandom.com/wiki/Uchi,Uchi
Umea ,https://expanse.fandom.com/wiki/Umea_(Books),Umea
Van Ark ,https://expanse.fandom.com/wiki/Van_Ark_(Books),Van
Vandercaust,https://expanse.fandom.com/wiki/Vandercaust,Vandercaust
Vaughn ,https://expanse.fandom.com/wiki/Vaughn_(Books),Vaughn
Veronica Dietz,https://expanse.fandom.com/wiki/Veronica_Dietz,Veronica
Annushka Volovodov,https://expanse.fandom.com/wiki/Annushka_Volovodov,Annushka
Waithe ,https://expanse.fandom.com/wiki/Waithe_(Books),Waithe
Carlos Walker,https://expanse.fandom.com/wiki/Carlos_Walker,Carlos
Chandra Wei ,https://expanse.fandom.com/wiki/Chandra_Wei_(Books),Chandra
Wendell,https://expanse.fandom.com/wiki/Wendell,Wendell
Wendy,https://expanse.fandom.com/wiki/Wendy,Wendy
William Sakai,https://expanse.fandom.com/wiki/William_Sakai,William
Chris Williams,https://expanse.fandom.com/wiki/Chris_Williams,Chris
Xan Bisset ,https://expanse.fandom.com/wiki/Xan_Bisset_(Books),Xan
Yacobsen ,https://expanse.fandom.com/wiki/Yacobsen_(Books),Yacobsen
Yuri ,https://expanse.fandom.com/wiki/Yuri_(Books),Yuri
Zach Kazantzakis,https://expanse.fandom.com/wiki/Zach_Kazantzakis,Zach
Zep,https://expanse.fandom.com/wiki/Zep,Zep
